Average waiting time: 3.80 seconds
Traffic volume: 55 vehicles/min
Exceeds threshold (>50): True
Average wait: 65s, Vehicle count: 45
Should turn green: True

--- Starting Smart Traffic Management System ---
Reading: (0, 5), Avg Wait: 0.00s, Count: 1, Turn Green: False
Reading: (2, 6), Avg Wait: 1.50s, Count: 2, Turn Green: False
Reading: (4, 7), Avg Wait: 3.33s, Count: 3, Turn Green: False
Reading: (6, 5), Avg Wait: 5.50s, Count: 4, Turn Green: False
Reading: (8, 6), Avg Wait: 7.40s, Count: 5, Turn Green: False
Reading: (10, 7), Avg Wait: 9.33s, Count: 6, Turn Green: False
Reading: (12, 5), Avg Wait: 11.43s, Count: 7, Turn Green: False
Reading: (14, 6), Avg Wait: 13.38s, Count: 8, Turn Green: False
Reading: (16, 7), Avg Wait: 15.33s, Count: 9, Turn Green: False
Reading: (18, 5), Avg Wait: 17.40s, Count: 10, Turn Green: False
Reading: (20, 6), Avg Wait: 19.36s, Count: 11, Turn Green: False
Reading: (22, 7), Avg Wait: 21.33s, Count: 12, Turn Green: False
Reading: (24, 5), Avg Wait: 23.38s, Count: 13, Turn Green: False
Reading: (26, 6), Avg Wait: 25.36s, Count: 14, Turn Green: False
Reading: (28, 7), Avg Wait: 27.33s, Count: 15, Turn Green: False
Reading: (30, 5), Avg Wait: 29.38s, Count: 16, Turn Green: False
Reading: (32, 6), Avg Wait: 31.35s, Count: 17, Turn Green: False
Reading: (34, 7), Avg Wait: 33.33s, Count: 18, Turn Green: False
Reading: (36, 5), Avg Wait: 35.37s, Count: 19, Turn Green: False
Reading: (38, 6), Avg Wait: 37.35s, Count: 20, Turn Green: False
Reading: (40, 7), Avg Wait: 39.33s, Count: 21, Turn Green: False
Reading: (42, 5), Avg Wait: 41.36s, Count: 22, Turn Green: False
Reading: (44, 6), Avg Wait: 43.35s, Count: 23, Turn Green: False
Reading: (46, 7), Avg Wait: 45.33s, Count: 24, Turn Green: False
Reading: (48, 5), Avg Wait: 47.36s, Count: 25, Turn Green: False
Reading: (50, 6), Avg Wait: 49.35s, Count: 26, Turn Green: False
Reading: (52, 7), Avg Wait: 51.33s, Count: 27, Turn Green: False
Reading: (54, 5), Avg Wait: 53.36s, Count: 28, Turn Green: False
Reading: (56, 6), Avg Wait: 55.34s, Count: 29, Turn Green: False
Reading: (58, 7), Avg Wait: 57.33s, Count: 30, Turn Green: False
Reading: (60, 5), Avg Wait: 59.35s, Count: 31, Turn Green: False
Reading: (62, 6), Avg Wait: 61.34s, Count: 32, Turn Green: False
Reading: (64, 7), Avg Wait: 63.33s, Count: 33, Turn Green: False
Reading: (66, 5), Avg Wait: 65.35s, Count: 34, Turn Green: False
Reading: (68, 6), Avg Wait: 67.34s, Count: 35, Turn Green: False
Reading: (70, 7), Avg Wait: 69.33s, Count: 36, Turn Green: False
Reading: (72, 5), Avg Wait: 71.35s, Count: 37, Turn Green: False
Reading: (74, 6), Avg Wait: 73.34s, Count: 38, Turn Green: False
Reading: (76, 7), Avg Wait: 75.33s, Count: 39, Turn Green: False
Reading: (78, 5), Avg Wait: 77.35s, Count: 40, Turn Green: False
Reading: (80, 6), Avg Wait: 79.34s, Count: 41, Turn Green: True
Reading: (82, 7), Avg Wait: 81.33s, Count: 42, Turn Green: True
Reading: (84, 5), Avg Wait: 83.35s, Count: 43, Turn Green: True
Reading: (86, 6), Avg Wait: 85.34s, Count: 44, Turn Green: True
Reading: (88, 7), Avg Wait: 87.33s, Count: 45, Turn Green: True
Reading: (90, 5), Avg Wait: 89.35s, Count: 46, Turn Green: True
Reading: (92, 6), Avg Wait: 91.34s, Count: 47, Turn Green: True
Reading: (94, 7), Avg Wait: 93.33s, Count: 48, Turn Green: True
Reading: (96, 5), Avg Wait: 95.35s, Count: 49, Turn Green: True
Reading: (98, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (100, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (102, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (104, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (106, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (108, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (110, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (112, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (114, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (116, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (118, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (120, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (122, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (124, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (126, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (128, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (130, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (132, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (134, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (136, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (138, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (140, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (142, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (144, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (146, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (148, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (150, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (152, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (154, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (156, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (158, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (160, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
Reading: (162, 5), Avg Wait: 98.34s, Count: 50, Turn Green: True
Reading: (164, 6), Avg Wait: 97.34s, Count: 50, Turn Green: True
Reading: (166, 7), Avg Wait: 98.32s, Count: 50, Turn Green: True
